batchsize,depth,entangler_operation,have_less_rotations,input_activation_function,is_data_encoding_hardware_efficient,learning_rate,map_type,output_circuit,use_reuploading,dataset,task_id,val_binary_accuracy,val_auc
16,1,cz,True,tanh,False,0.012682037922148802,pairs,mZ,True,wilt,146820,0.945650053024292,0.4626463055610657
16,1,cz,True,tanh,False,0.027670936147658712,pairs,mZ,False,banknote-authentication,10093,0.5925684988498687,0.6693629920482635
16,1,cz,True,tanh,False,0.034454943282411846,ring,mZ,True,wilt,146820,0.900804215669632,0.6605313420295715
16,1,cz,True,tanh,False,0.051559160814462934,pairs,2Z,True,breast-w,15,0.8526500999927521,0.958397263288498
16,1,cz,True,tanh,False,0.056506840665895876,ring,mZ,False,breast-w,15,0.6823602557182312,0.6067433655261993
16,1,cz,True,tanh,False,0.07207851376887532,full,2Z,True,breast-w,15,0.7624844610691071,0.93052938580513
16,1,cz,True,tanh,False,0.08006930009039563,full,mZ,False,breast-w,15,0.7610558986663818,0.8138859808444977
16,1,cz,True,tanh,False,0.09686663436533549,ring,2Z,True,phoneme,9952,0.7000417590141297,0.6731643974781036
16,1,cz,True,tanh,False,0.15596544263752665,ring,mZ,False,breast-w,15,0.6709937930107117,0.6090912044048309
16,1,cz,True,tanh,False,0.27620853095366754,ring,mZ,True,diabetes,37,0.6523752510547638,0.5414230734109878
16,1,cz,True,tanh,False,0.3326936625826357,ring,2Z,True,diabetes,37,0.6522556364536285,0.5975128054618836
16,1,cz,True,tanh,True,0.00031991042898708616,ring,mZ,True,banknote-authentication,10093,0.7873585045337677,0.9228899121284485
16,1,cz,True,tanh,True,0.00040387828278197404,ring,2Z,False,breast-w,15,0.7123602569103241,0.8756657838821411
16,1,cz,True,tanh,True,0.0009763312357671761,ring,2Z,False,phoneme,9952,0.7111422598361969,0.7742346823215485
16,1,cz,True,tanh,True,0.0028835938486236902,pairs,2Z,False,wilt,146820,0.9460632801055908,0.5910239577293396
16,1,cz,True,tanh,True,0.00313259703383221,ring,mZ,True,diabetes,37,0.6562713563442231,0.6821780681610108
16,1,cz,True,tanh,True,0.006489774048084383,pairs,mZ,False,blood-transfusion-service-center,10101,0.7620540499687195,0.5588263928890228
16,1,cz,True,tanh,True,0.027694939565912298,pairs,2Z,False,phoneme,9952,0.7409365355968476,0.7670942127704621
16,1,cz,True,tanh,True,0.03865934719117329,full,mZ,True,phoneme,9952,0.7283487319946289,0.7656121373176574
16,1,cz,True,tanh,True,0.06672556942791308,pairs,mZ,True,wilt,146820,0.9460632801055908,0.35313045382499697
16,1,cz,True,tanh,True,0.07891686996982389,ring,2Z,False,ilpd,9971,0.7135593116283416,0.6638144135475159
16,1,cz,True,tanh,True,0.1059257287218671,pairs,2Z,False,ilpd,9971,0.7135593116283416,0.65798619389534
16,1,cz,True,tanh,True,0.10891356757158642,ring,mZ,False,breast-w,15,0.7940786719322205,0.9229797899723053
16,1,cz,True,tanh,True,0.16480125195132816,full,mZ,False,breast-w,15,0.9571014463901519,0.9830320835113525
16,1,cz,True,tanh,True,0.2497372659837523,pairs,mZ,False,breast-w,15,0.7281987607479096,0.9242381453514099
16,1,cz,True,tanh,True,0.2672195570517816,pairs,mZ,False,breast-w,15,0.7181573569774627,0.9055444180965424
